action="None",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:31",dest_ip="",dest_port="",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Started",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="0",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="",source_ip="",source_port="",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:34",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10177",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="211.54.2.211",source_port="45199",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:34",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10099",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="102.69.5.49",source_port="45620",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:35",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10019",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="123.87.194.212",source_port="10818",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:35",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10023",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="144.16.112.141",source_port="11054",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:35",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9928",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="132.91.70.252",source_port="11121",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:35",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10017",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="20.73.26.79",source_port="11586",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:36",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9961",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="106.182.89.149",source_port="42398",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:36",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10029",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="20.1.105.236",source_port="42599",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:36",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9871",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="27.252.240.49",source_port="42679",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:36",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10010",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="104.167.106.62",source_port="43128",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:19",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="1",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="51.172.201.62",source_port="36821",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:19",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="1",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="6.198.168.212",source_port="43338",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:19",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="1",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="105.211.49.57",source_port="43347",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:19",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="1",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="38.201.240.2",source_port="44808",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:19",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="225",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="75.42.113.0",source_port="45695",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:19",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="576",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="57.167.107.146",source_port="45885",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:19",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="2214",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="215.215.143.149",source_port="46016",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:19",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="728",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="197.139.114.221",source_port="46408",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:20",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9942",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="240.152.62.144",source_port="7227",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:20",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10000",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="172.128.83.254",source_port="7444",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:20",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9867",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="75.23.123.96",source_port="7509",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:20",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9959",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="77.247.216.153",source_port="7956",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:21",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10057",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="177.192.72.112",source_port="33932",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:21",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10002",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="55.158.51.232",source_port="34099",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:21",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9949",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="152.24.130.184",source_port="34208",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:21",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9963",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="192.114.143.172",source_port="34535",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:50:22",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10032",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="69.129.29.155",source_port="63136",vlan="/Common/external"
